Comment,Designator,Footprint,LCSC
22n,"C16,C17,C18",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C113907
TMC2208,"U1,U2,U3",TMC2208-LA,C115944
FerriteBead,FB2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C139169
20p,"C24,C25",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C162447
0,"R19,R20,R21,R22",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17888
R,"R10,R4,R6,R8",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17901
10k,"R14,R15,R16,R3",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902
R,"R11,R12,R13,R5,R7,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
ATmega128,U5,TQFP-64_14x14mm_P0.8mm,C183188
CG0603MLC-05E,"RV1,RV2",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C20960
100n,"C1,C10,C11,C12,C13,C14,C15,C2,C23,C26,C27,C28,C29,C3,C30,C7,C8,C9",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
0.33u,C22,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C307572
1k,"R1,R2",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410
100u,"C4,C5,C6",CP_Elec_5x5.4,C487302
2.2u,"C19,C20,C21",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C50254
22,"R17,R18",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C5672
M1EN,"D1,D3,D5,D7",LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C84273
ECS-160-12-33-AGN-TR,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C89371
SW3,"D10,D2,D4,D6,D8,D9",LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C93133
uA7805,U4,TO-263-3_TabPin2,C962135
CH340E,U6,MSOP-10_3x3mm_P0.5mm,C99652
